L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t      E   mag_x   max_z   corr    err     entropy
0.15    -0.9899007997993032 -0.009998968399467224   -9659250320661474e-22   9330111511647347e-28    31047105096354633e-35
0.175   -0.9899006568003104 -0.00999895283960997    -15975665147076723e-22  2552218748889082e-27    6858530122649156e-38
0.2 -0.9899006966606603 -0.009998929454110822   -25314516420108665e-22  6408247382211587e-27    9571898660455127e-37
0.225   -0.9899011047843724 -0.009998892732354814   -38742770372473336e-22  1501002252020124e-26    8928647130977102e-36
0.25    -0.9899021632188332 -0.009998833703951628   -5756508810432699e-21   3313739359910562e-26    6308691306744241e-35
0.275   -0.989904266124862  -0.009998738726175406   -8332191340363486e-21   6942541240469866e-26    36267760716930416e-35
0.3 -0.9899079109556554 -0.009998588457457207   -11776501684435286e-21  13868599172549102e-26   18608711358204232e-35
0.325   -0.9899136457878851 -0.009998357464882222   -16280609202185124e-21  2650582357014802e-25    12368741672376089e-35
0.35    -0.9899219546298293 -0.009998015009534124   -2204364519223816e-20   4859222930169121e-25    4149278133682657e-34
0.375   -0.9899330731193838 -0.009997527498039945   -2926193146705185e-20   8562606326325546e-25    1744641700152786e-34
0.4 -0.9899467483016291 -0.009996862814208035   -3811602026388459e-20   14528310001768214e-25   51539285586314475e-36
